Tick;Step;Rule;speed;0_Position;1_Position;ID
33;33;;1;237;38;452f497d-cfb1-4464-b332-d24c335eec12
34;34;;1;230;39;a86667f6-76a5-440d-811a-9885aa6702b0
34;34;;1;237;39;452f497d-cfb1-4464-b332-d24c335eec12
35;35;;1;230;40;a86667f6-76a5-440d-811a-9885aa6702b0
35;35;;1;237;40;452f497d-cfb1-4464-b332-d24c335eec12
36;36;;1;230;41;a86667f6-76a5-440d-811a-9885aa6702b0
36;36;;1;237;41;452f497d-cfb1-4464-b332-d24c335eec12
37;37;;1;230;42;a86667f6-76a5-440d-811a-9885aa6702b0
37;37;;1;237;42;452f497d-cfb1-4464-b332-d24c335eec12
38;38;;1;230;43;a86667f6-76a5-440d-811a-9885aa6702b0
38;38;;1;237;43;452f497d-cfb1-4464-b332-d24c335eec12
39;39;;1;230;44;a86667f6-76a5-440d-811a-9885aa6702b0
39;39;;1;237;44;452f497d-cfb1-4464-b332-d24c335eec12
40;40;;1;230;45;a86667f6-76a5-440d-811a-9885aa6702b0
40;40;;1;237;45;452f497d-cfb1-4464-b332-d24c335eec12
41;41;;1;230;46;a86667f6-76a5-440d-811a-9885aa6702b0
41;41;;1;237;46;452f497d-cfb1-4464-b332-d24c335eec12
42;42;;1;230;47;a86667f6-76a5-440d-811a-9885aa6702b0
42;42;;1;237;47;452f497d-cfb1-4464-b332-d24c335eec12
43;43;;1;230;48;a86667f6-76a5-440d-811a-9885aa6702b0
43;43;;1;237;48;452f497d-cfb1-4464-b332-d24c335eec12
44;44;;1;230;49;a86667f6-76a5-440d-811a-9885aa6702b0
44;44;;1;237;49;452f497d-cfb1-4464-b332-d24c335eec12
45;45;;1;230;50;a86667f6-76a5-440d-811a-9885aa6702b0
45;45;;1;237;50;452f497d-cfb1-4464-b332-d24c335eec12
46;46;;1;230;51;a86667f6-76a5-440d-811a-9885aa6702b0
46;46;;1;237;51;452f497d-cfb1-4464-b332-d24c335eec12
47;47;;1;230;52;a86667f6-76a5-440d-811a-9885aa6702b0
47;47;;1;237;52;452f497d-cfb1-4464-b332-d24c335eec12
48;48;;1;230;53;a86667f6-76a5-440d-811a-9885aa6702b0
48;48;;1;237;53;452f497d-cfb1-4464-b332-d24c335eec12
49;49;;1;230;54;a86667f6-76a5-440d-811a-9885aa6702b0
49;49;;1;237;54;452f497d-cfb1-4464-b332-d24c335eec12
50;50;;1;230;55;a86667f6-76a5-440d-811a-9885aa6702b0
50;50;;1;237;55;452f497d-cfb1-4464-b332-d24c335eec12
51;51;;1;230;56;a86667f6-76a5-440d-811a-9885aa6702b0
51;51;;1;237;56;452f497d-cfb1-4464-b332-d24c335eec12
52;52;;1;230;57;a86667f6-76a5-440d-811a-9885aa6702b0
52;52;;1;237;57;452f497d-cfb1-4464-b332-d24c335eec12
53;53;;1;230;58;a86667f6-76a5-440d-811a-9885aa6702b0
53;53;;1;237;58;452f497d-cfb1-4464-b332-d24c335eec12
54;54;;1;230;59;a86667f6-76a5-440d-811a-9885aa6702b0
54;54;;1;237;59;452f497d-cfb1-4464-b332-d24c335eec12
55;55;;1;230;60;a86667f6-76a5-440d-811a-9885aa6702b0
55;55;;1;237;60;452f497d-cfb1-4464-b332-d24c335eec12
56;56;;1;230;61;a86667f6-76a5-440d-811a-9885aa6702b0
56;56;;1;237;61;452f497d-cfb1-4464-b332-d24c335eec12
57;57;;1;230;62;a86667f6-76a5-440d-811a-9885aa6702b0
57;57;;1;237;62;452f497d-cfb1-4464-b332-d24c335eec12
58;58;;1;230;63;a86667f6-76a5-440d-811a-9885aa6702b0
58;58;;1;237;63;452f497d-cfb1-4464-b332-d24c335eec12
59;59;;1;230;64;a86667f6-76a5-440d-811a-9885aa6702b0
59;59;;1;237;64;452f497d-cfb1-4464-b332-d24c335eec12
60;60;;1;230;65;a86667f6-76a5-440d-811a-9885aa6702b0
60;60;;1;237;65;452f497d-cfb1-4464-b332-d24c335eec12
61;61;;1;230;66;a86667f6-76a5-440d-811a-9885aa6702b0
61;61;;1;237;66;452f497d-cfb1-4464-b332-d24c335eec12
62;62;;1;230;67;a86667f6-76a5-440d-811a-9885aa6702b0
62;62;;1;237;67;452f497d-cfb1-4464-b332-d24c335eec12
63;63;;1;230;68;a86667f6-76a5-440d-811a-9885aa6702b0
63;63;;1;237;68;452f497d-cfb1-4464-b332-d24c335eec12
64;64;;1;230;69;a86667f6-76a5-440d-811a-9885aa6702b0
64;64;;1;237;69;452f497d-cfb1-4464-b332-d24c335eec12
65;65;;1;230;70;a86667f6-76a5-440d-811a-9885aa6702b0
65;65;;1;237;70;452f497d-cfb1-4464-b332-d24c335eec12
66;66;;1;230;71;a86667f6-76a5-440d-811a-9885aa6702b0
66;66;;1;237;71;452f497d-cfb1-4464-b332-d24c335eec12
67;67;;1;230;72;a86667f6-76a5-440d-811a-9885aa6702b0
67;67;;1;237;72;452f497d-cfb1-4464-b332-d24c335eec12
68;68;;1;230;73;a86667f6-76a5-440d-811a-9885aa6702b0
68;68;;1;237;73;452f497d-cfb1-4464-b332-d24c335eec12
69;69;;1;230;74;a86667f6-76a5-440d-811a-9885aa6702b0
69;69;;1;237;74;452f497d-cfb1-4464-b332-d24c335eec12
70;70;;1;230;75;a86667f6-76a5-440d-811a-9885aa6702b0
70;70;;1;237;75;452f497d-cfb1-4464-b332-d24c335eec12
71;71;;1;230;76;a86667f6-76a5-440d-811a-9885aa6702b0
71;71;;1;237;76;452f497d-cfb1-4464-b332-d24c335eec12
72;72;;1;230;77;a86667f6-76a5-440d-811a-9885aa6702b0
72;72;;1;237;77;452f497d-cfb1-4464-b332-d24c335eec12
73;73;;1;230;78;a86667f6-76a5-440d-811a-9885aa6702b0
73;73;;1;237;78;452f497d-cfb1-4464-b332-d24c335eec12
74;74;;1;230;79;a86667f6-76a5-440d-811a-9885aa6702b0
74;74;;1;237;79;452f497d-cfb1-4464-b332-d24c335eec12
75;75;;1;230;80;a86667f6-76a5-440d-811a-9885aa6702b0
75;75;;1;237;80;452f497d-cfb1-4464-b332-d24c335eec12
76;76;;1;230;81;a86667f6-76a5-440d-811a-9885aa6702b0
76;76;;1;237;81;452f497d-cfb1-4464-b332-d24c335eec12
77;77;;1;230;82;a86667f6-76a5-440d-811a-9885aa6702b0
77;77;;1;237;82;452f497d-cfb1-4464-b332-d24c335eec12
78;78;;1;230;83;a86667f6-76a5-440d-811a-9885aa6702b0
78;78;;1;237;83;452f497d-cfb1-4464-b332-d24c335eec12
79;79;;1;230;84;a86667f6-76a5-440d-811a-9885aa6702b0
79;79;;1;237;84;452f497d-cfb1-4464-b332-d24c335eec12
80;80;;1;230;85;a86667f6-76a5-440d-811a-9885aa6702b0
80;80;;1;237;85;452f497d-cfb1-4464-b332-d24c335eec12
81;81;;1;230;86;a86667f6-76a5-440d-811a-9885aa6702b0
81;81;;1;237;86;452f497d-cfb1-4464-b332-d24c335eec12
82;82;;1;230;87;a86667f6-76a5-440d-811a-9885aa6702b0
82;82;;1;237;87;452f497d-cfb1-4464-b332-d24c335eec12
83;83;;1;230;88;a86667f6-76a5-440d-811a-9885aa6702b0
83;83;;1;237;88;452f497d-cfb1-4464-b332-d24c335eec12
84;84;;1;230;89;a86667f6-76a5-440d-811a-9885aa6702b0
84;84;;1;237;89;452f497d-cfb1-4464-b332-d24c335eec12
85;85;;1;230;90;a86667f6-76a5-440d-811a-9885aa6702b0
85;85;;1;237;90;452f497d-cfb1-4464-b332-d24c335eec12
86;86;;1;230;91;a86667f6-76a5-440d-811a-9885aa6702b0
86;86;;1;237;91;452f497d-cfb1-4464-b332-d24c335eec12
87;87;;1;230;92;a86667f6-76a5-440d-811a-9885aa6702b0
87;87;;1;237;92;452f497d-cfb1-4464-b332-d24c335eec12
88;88;;1;230;93;a86667f6-76a5-440d-811a-9885aa6702b0
88;88;;1;237;93;452f497d-cfb1-4464-b332-d24c335eec12
89;89;;1;230;94;a86667f6-76a5-440d-811a-9885aa6702b0
89;89;;1;237;94;452f497d-cfb1-4464-b332-d24c335eec12
90;90;;1;230;95;a86667f6-76a5-440d-811a-9885aa6702b0
90;90;;1;237;95;452f497d-cfb1-4464-b332-d24c335eec12
91;91;;1;230;96;a86667f6-76a5-440d-811a-9885aa6702b0
91;91;;1;237;96;452f497d-cfb1-4464-b332-d24c335eec12
92;92;;1;230;97;a86667f6-76a5-440d-811a-9885aa6702b0
92;92;;1;237;97;452f497d-cfb1-4464-b332-d24c335eec12
93;93;;1;230;98;a86667f6-76a5-440d-811a-9885aa6702b0
93;93;;1;237;98;452f497d-cfb1-4464-b332-d24c335eec12
94;94;;1;230;99;a86667f6-76a5-440d-811a-9885aa6702b0
94;94;;1;237;99;452f497d-cfb1-4464-b332-d24c335eec12
95;95;;1;230;100;a86667f6-76a5-440d-811a-9885aa6702b0
95;95;;1;237;100;452f497d-cfb1-4464-b332-d24c335eec12
96;96;;1;230;101;a86667f6-76a5-440d-811a-9885aa6702b0
96;96;;1;237;101;452f497d-cfb1-4464-b332-d24c335eec12
97;97;;1;230;102;a86667f6-76a5-440d-811a-9885aa6702b0
97;97;;1;237;102;452f497d-cfb1-4464-b332-d24c335eec12
98;98;;1;230;103;a86667f6-76a5-440d-811a-9885aa6702b0
98;98;;1;237;103;452f497d-cfb1-4464-b332-d24c335eec12
99;99;;1;230;104;a86667f6-76a5-440d-811a-9885aa6702b0
