Tick;Step;Rule;speed;0_Position;1_Position;ID
6;6;;1.5;72;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
6;6;;1.5;4;27;4fd36160-e387-4502-b545-41e9ecd02684
7;7;;1.5;99;7;6a51b22d-3640-40f2-91e3-95587ea6605a
7;7;;1.5;139;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
7;7;;1.5;206;3;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
7;7;;1.5;137;1;0193dabb-4810-4d11-842b-6ba905240ebb
7;7;;1.5;9;9;b7fd22e4-83af-4875-99e4-a04860578d25
7;7;;1.5;18;16;b7779038-56d6-4363-929f-aef47f760de4
7;7;;1.5;4;35;596f26b4-de5f-4927-a4b7-43eb97bfb856
7;7;;1.5;75;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
7;7;;1.5;73;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
7;7;;1.5;5;26;4fd36160-e387-4502-b545-41e9ecd02684
8;8;;1.5;100;7;6a51b22d-3640-40f2-91e3-95587ea6605a
8;8;;1.5;140;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
8;8;;1.5;207;4;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
8;8;;1.5;138;1;0193dabb-4810-4d11-842b-6ba905240ebb
8;8;;1.5;10;10;b7fd22e4-83af-4875-99e4-a04860578d25
8;8;;1.5;18;17;b7779038-56d6-4363-929f-aef47f760de4
8;8;;1.5;5;34;596f26b4-de5f-4927-a4b7-43eb97bfb856
8;8;;1.5;76;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
8;8;;1.5;74;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
8;8;;1.5;6;25;4fd36160-e387-4502-b545-41e9ecd02684
9;9;;1.5;101;7;6a51b22d-3640-40f2-91e3-95587ea6605a
9;9;;1.5;141;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
9;9;;1.5;208;5;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
9;9;;1.5;139;1;0193dabb-4810-4d11-842b-6ba905240ebb
9;9;;1.5;11;11;b7fd22e4-83af-4875-99e4-a04860578d25
9;9;;1.5;18;18;b7779038-56d6-4363-929f-aef47f760de4
9;9;;1.5;6;33;596f26b4-de5f-4927-a4b7-43eb97bfb856
9;9;;1.5;77;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
9;9;;1.5;75;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
9;9;;1.5;7;24;4fd36160-e387-4502-b545-41e9ecd02684
10;10;;1.5;102;7;6a51b22d-3640-40f2-91e3-95587ea6605a
10;10;;1.5;142;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
10;10;;1.5;209;6;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
10;10;;1.5;140;1;0193dabb-4810-4d11-842b-6ba905240ebb
10;10;;1.5;12;12;b7fd22e4-83af-4875-99e4-a04860578d25
10;10;;1.5;18;19;b7779038-56d6-4363-929f-aef47f760de4
10;10;;1.5;7;32;596f26b4-de5f-4927-a4b7-43eb97bfb856
10;10;;1.5;78;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
10;10;;1.5;76;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
10;10;;1.5;8;23;4fd36160-e387-4502-b545-41e9ecd02684
11;11;;1.5;103;7;6a51b22d-3640-40f2-91e3-95587ea6605a
11;11;;1.5;143;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
11;11;;1.5;210;7;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
11;11;;1.5;141;1;0193dabb-4810-4d11-842b-6ba905240ebb
11;11;;1.5;13;13;b7fd22e4-83af-4875-99e4-a04860578d25
11;11;;1.5;18;20;b7779038-56d6-4363-929f-aef47f760de4
11;11;;1.5;8;31;596f26b4-de5f-4927-a4b7-43eb97bfb856
11;11;;1.5;79;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
11;11;;1.5;77;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
11;11;;1.5;9;22;4fd36160-e387-4502-b545-41e9ecd02684
12;12;;1.5;104;7;6a51b22d-3640-40f2-91e3-95587ea6605a
12;12;;1.5;144;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
12;12;;1.5;211;8;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
12;12;;1.5;142;1;0193dabb-4810-4d11-842b-6ba905240ebb
12;12;;1.5;14;14;b7fd22e4-83af-4875-99e4-a04860578d25
12;12;;1.5;18;21;b7779038-56d6-4363-929f-aef47f760de4
12;12;;1.5;9;30;596f26b4-de5f-4927-a4b7-43eb97bfb856
12;12;;1.5;80;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
12;12;;1.5;78;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
12;12;;1.5;10;21;4fd36160-e387-4502-b545-41e9ecd02684
13;13;;1.5;105;7;6a51b22d-3640-40f2-91e3-95587ea6605a
13;13;;1.5;145;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
13;13;;1.5;212;9;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
13;13;;1.5;143;1;0193dabb-4810-4d11-842b-6ba905240ebb
13;13;;1.5;15;15;b7fd22e4-83af-4875-99e4-a04860578d25
13;13;;1.5;18;22;b7779038-56d6-4363-929f-aef47f760de4
13;13;;1.5;10;29;596f26b4-de5f-4927-a4b7-43eb97bfb856
13;13;;1.5;81;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
13;13;;1.5;79;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
13;13;;1.5;11;20;4fd36160-e387-4502-b545-41e9ecd02684
14;14;;1.5;106;7;6a51b22d-3640-40f2-91e3-95587ea6605a
14;14;;1.5;146;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
14;14;;1.5;213;10;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
14;14;;1.5;144;1;0193dabb-4810-4d11-842b-6ba905240ebb
14;14;;1.5;16;16;b7fd22e4-83af-4875-99e4-a04860578d25
14;14;;1.5;18;23;b7779038-56d6-4363-929f-aef47f760de4
14;14;;1.5;11;28;596f26b4-de5f-4927-a4b7-43eb97bfb856
14;14;;1.5;82;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
14;14;;1.5;80;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
14;14;;1.5;12;20;4fd36160-e387-4502-b545-41e9ecd02684
15;15;;1.5;107;7;6a51b22d-3640-40f2-91e3-95587ea6605a
15;15;;1.5;147;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
15;15;;1.5;214;11;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
15;15;;1.5;145;1;0193dabb-4810-4d11-842b-6ba905240ebb
15;15;;1.5;16;17;b7fd22e4-83af-4875-99e4-a04860578d25
15;15;;1.5;18;24;b7779038-56d6-4363-929f-aef47f760de4
15;15;;1.5;12;27;596f26b4-de5f-4927-a4b7-43eb97bfb856
15;15;;1.5;83;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
15;15;;1.5;81;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
15;15;;1.5;14;20;4fd36160-e387-4502-b545-41e9ecd02684
16;16;;1.5;108;7;6a51b22d-3640-40f2-91e3-95587ea6605a
16;16;;1.5;148;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
16;16;;1.5;215;12;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
16;16;;1.5;146;1;0193dabb-4810-4d11-842b-6ba905240ebb
16;16;;1.5;16;18;b7fd22e4-83af-4875-99e4-a04860578d25
16;16;;1.5;18;25;b7779038-56d6-4363-929f-aef47f760de4
16;16;;1.5;13;26;596f26b4-de5f-4927-a4b7-43eb97bfb856
16;16;;1.5;84;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
16;16;;1.5;82;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
16;16;;1.5;15;20;4fd36160-e387-4502-b545-41e9ecd02684
17;17;;1.5;109;7;6a51b22d-3640-40f2-91e3-95587ea6605a
17;17;;1.5;149;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
17;17;;1.5;216;13;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
17;17;;1.5;147;1;0193dabb-4810-4d11-842b-6ba905240ebb
17;17;;1.5;16;19;b7fd22e4-83af-4875-99e4-a04860578d25
17;17;;1.5;18;26;b7779038-56d6-4363-929f-aef47f760de4
17;17;;1.5;14;25;596f26b4-de5f-4927-a4b7-43eb97bfb856
17;17;;1.5;85;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
17;17;;1.5;83;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
17;17;;1.5;16;21;4fd36160-e387-4502-b545-41e9ecd02684
18;18;;1.5;110;7;6a51b22d-3640-40f2-91e3-95587ea6605a
18;18;;1.5;150;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
18;18;;1.5;217;14;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
18;18;;1.5;148;1;0193dabb-4810-4d11-842b-6ba905240ebb
18;18;;1.5;16;20;b7fd22e4-83af-4875-99e4-a04860578d25
18;18;;1.5;18;27;b7779038-56d6-4363-929f-aef47f760de4
18;18;;1.5;15;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
18;18;;1.5;86;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
18;18;;1.5;84;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
18;18;;1.5;17;22;4fd36160-e387-4502-b545-41e9ecd02684
19;19;;1.5;111;7;6a51b22d-3640-40f2-91e3-95587ea6605a
19;19;;1.5;151;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
19;19;;1.5;218;15;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
19;19;;1.5;149;1;0193dabb-4810-4d11-842b-6ba905240ebb
19;19;;1.5;17;20;b7fd22e4-83af-4875-99e4-a04860578d25
19;19;;1.5;19;27;b7779038-56d6-4363-929f-aef47f760de4
19;19;;1.5;16;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
19;19;;1.5;87;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
19;19;;1.5;85;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
19;19;;1.5;18;22;4fd36160-e387-4502-b545-41e9ecd02684
20;20;;1.5;112;7;6a51b22d-3640-40f2-91e3-95587ea6605a
20;20;;1.5;152;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
20;20;;1.5;219;16;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
20;20;;1.5;150;1;0193dabb-4810-4d11-842b-6ba905240ebb
20;20;;1.5;18;20;b7fd22e4-83af-4875-99e4-a04860578d25
20;20;;1.5;20;27;b7779038-56d6-4363-929f-aef47f760de4
20;20;;1.5;17;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
20;20;;1.5;88;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
20;20;;1.5;86;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
20;20;;1.5;19;22;4fd36160-e387-4502-b545-41e9ecd02684
21;21;;1.5;113;7;6a51b22d-3640-40f2-91e3-95587ea6605a
21;21;;1.5;153;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
21;21;;1.5;220;17;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
21;21;;1.5;151;1;0193dabb-4810-4d11-842b-6ba905240ebb
21;21;;1.5;19;20;b7fd22e4-83af-4875-99e4-a04860578d25
21;21;;1.5;21;27;b7779038-56d6-4363-929f-aef47f760de4
21;21;;1.5;18;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
21;21;;1.5;89;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
21;21;;1.5;87;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
